Recency,Frequency,Monetary,Churn,AvgOrderValue,PurchaseSpanDays,PurchaseInterval,RepeatRatio,ChurnProbability,RiskSegment,Segment,SegmentName
25,4,2989.2200000000003,0,747.3050000000001,563,187.66666666666666,1.3333333333333333,0.11732730684852181,Low Risk,3,regular
11,2,457.5,0,228.75,87,87.0,1.0,0.627908594528307,High Risk,0,Occasional
390,2,503.15,1,251.575,28,28.0,1.0,0.6711711579915188,High Risk,0,Occasional
315,4,3426.32,1,856.58,274,91.33333333333333,1.0,0.3520796710532312,Medium Risk,3,regular
130,2,5416.32,0,2708.16,432,432.0,1.0,0.33238847327050974,Medium Risk,3,regular
82,4,1620.22,0,405.055,452,150.66666666666666,1.0,0.18690869596469348,Low Risk,3,regular
22,11,9676.300000000001,0,879.6636363636364,640,64.0,1.375,0.05085832455306988,Low Risk,2,VIP Loyal
5,5,1845.31,0,369.062,115,28.75,1.25,0.5352013822893282,Medium Risk,3,regular
185,5,1850.56,1,370.11199999999997,167,41.75,1.0,0.4674607076811482,Medium Risk,3,regular
29,2,585.27,0,292.635,92,92.0,1.0,0.6234941961381516,High Risk,0,Occasional
379,1,1938.4,1,1938.4,0,0.0,1.0,0.6791692444052108,High Risk,1,Churned
338,2,660.8,1,330.4,29,29.0,1.0,0.669733456915913,High Risk,3,regular
415,1,143.94,1,143.94,0,0.0,1.0,0.6974342050802226,High Risk,1,Churned
16,8,3901.11,0,487.63875,566,80.85714285714286,1.0,0.08322711986549537,Low Risk,3,regular
403,3,1433.33,1,477.77666666666664,253,126.5,1.0,0.40955620366814677,Medium Risk,3,regular
80,1,549.84,0,549.84,0,0.0,1.0,0.6933543140947215,High Risk,1,Churned
22,6,2773.42,0,462.2366666666667,641,128.2,1.5,0.06588464449223878,Low Risk,3,regular
591,1,234.75000000000003,1,234.75000000000003,0,0.0,1.0,0.6965241012487275,High Risk,1,Churned
72,6,2399.4500000000003,0,399.9083333333333,356,71.2,1.2,0.23808790283800033,Low Risk,3,regular
64,2,1272.48,0,636.24,153,153.0,1.0,0.5726099616712496,Medium Risk,3,regular
19,15,5067.27,0,337.81800000000004,583,41.642857142857146,1.3636363636363635,0.05933807296973555,Low Risk,2,VIP Loyal
674,1,931.43,1,931.43,0,0.0,1.0,0.6894909504168115,High Risk,1,Churned
36,2,2409.9,0,1204.9499999999998,99,99.0,1.0,0.6091914920108631,High Risk,3,regular
46,1,1635.6599999999999,0,1635.6599999999999,0,0.0,1.0,0.6822914763810972,High Risk,1,Churned
119,7,1962.3,0,280.3285714285715,525,87.5,1.0,0.10711694641946297,Low Risk,3,regular
414,1,205.25,1,205.25,0,0.0,1.0,0.6968199216050159,High Risk,1,Churned
303,1,84.3,1,84.3,0,0.0,1.0,0.6980310795957507,High Risk,1,Churned
323,6,1256.9,1,209.48333333333335,347,69.4,1.0,0.24657711928256684,Low Risk,0,Occasional
50,2,1019.36,0,509.68000000000006,471,471.0,1.0,0.32461073731973084,Medium Risk,3,regular
682,1,63.24,1,63.24,0,0.0,1.0,0.6982416874743465,High Risk,1,Churned
149,1,1710.39,0,1710.39,0,0.0,1.0,0.6815222761758718,High Risk,1,Churned
22,5,6390.36,0,1278.0720000000001,675,168.75,1.0,0.06004841326859615,Low Risk,3,regular
50,5,1708.1200000000001,0,341.62399999999997,214,53.5,1.25,0.4097903434407537,Medium Risk,3,regular
33,8,4340.7699999999995,0,542.5962499999999,465,66.42857142857143,1.1428571428571428,0.13555209443626828,Low Risk,3,regular
79,7,23419.29,0,3345.612857142857,486,81.0,1.1666666666666667,0.12518189639563815,Low Risk,3,regular
309,3,1013.71,1,337.9033333333333,193,96.5,1.5,0.47981848954668094,Medium Risk,0,Occasional
410,1,346.9,1,346.9,0,0.0,1.0,0.6953979978222069,High Risk,1,Churned
75,6,2596.93,0,432.82166666666666,464,92.8,1.0,0.15006672576817215,Low Risk,3,regular
67,4,999.45,0,249.8625,335,111.66666666666667,1.0,0.2908131029270333,Low Risk,0,Occasional
217,6,952.41,1,158.73499999999999,246,49.2,1.5,0.359836324969876,Medium Risk,0,Occasional
24,28,144458.37,0,5159.2275,503,19.346153846153847,1.8,0.10665482557078493,Low Risk,2,VIP Loyal
657,1,202.56,1,202.56,0,0.0,1.0,0.6968468883050942,High Risk,1,Churned
3,20,6816.91,0,340.8455,730,38.421052631578945,1.25,0.023113287085018124,Low Risk,2,VIP Loyal
113,4,2021.2,0,505.3,517,172.33333333333334,1.0,0.1428052870429117,Low Risk,3,regular
386,2,503.01,1,251.505,27,27.0,1.0,0.6718865359862225,High Risk,0,Occasional
64,1,600.39,0,600.39,0,0.0,1.0,0.6928440679558212,High Risk,1,Churned
16,6,1098.6,0,183.1,489,97.8,1.0,0.1346137531465329,Low Risk,0,Occasional
96,17,5231.8,0,307.7529411764706,625,39.0625,1.5454545454545454,0.0448272525607264,Low Risk,2,VIP Loyal
1,10,2622.39,0,262.239,465,51.666666666666664,1.0,0.1253593034457419,Low Risk,2,VIP Loyal
163,4,3340.03,0,835.0075,385,192.5,1.0,0.27021240438622984,Low Risk,3,regular
78,2,1741.41,0,870.705,370,370.0,1.0,0.3964320123481842,Medium Risk,3,regular
195,2,1345.21,1,672.605,468,468.0,1.0,0.32526195637885025,Medium Risk,3,regular
22,3,1129.3,0,376.43333333333334,349,174.5,1.0,0.31145151964079737,Medium Risk,3,regular
26,9,7956.46,0,884.0511111111111,257,32.125,1.8,0.3199176693805207,Medium Risk,2,VIP Loyal
9,8,7485.91,0,935.73875,537,76.71428571428571,1.3333333333333333,0.09634819335244506,Low Risk,2,VIP Loyal
43,1,256.4,0,256.4,0,0.0,1.0,0.696306895593713,High Risk,1,Churned
36,27,10857.97,0,402.147037037037,658,25.307692307692307,1.6875,0.028632648605479444,Low Risk,2,VIP Loyal
43,5,5059.32,0,1011.8639999999999,129,32.25,2.5,0.5202146327043513,Medium Risk,3,regular
1,10,20581.26,0,2058.1259999999997,476,52.888888888888886,1.25,0.1207340218097943,Low Risk,2,VIP Loyal
85,3,1103.43,0,367.81,296,148.0,1.0,0.36470158727641694,Medium Risk,3,regular
80,6,13925.93,0,2320.9883333333332,657,131.4,1.0,0.058496121983965414,Low Risk,3,regular
100,1,509.01,0,509.01,0,0.0,1.0,0.6937661022732725,High Risk,1,Churned
2,39,12683.4,0,325.2153846153846,735,19.342105263157894,1.95,0.013544866516808845,Low Risk,2,VIP Loyal
14,2,2906.85,0,1453.425,125,125.0,1.0,0.5864647161292865,Medium Risk,3,regular
683,2,1158.18,1,579.09,43,43.0,1.0,0.6573054177294722,High Risk,3,regular
462,2,859.2,1,429.6,255,255.0,1.0,0.4926407707128771,Medium Risk,3,regular
367,1,347.1,1,347.1,0,0.0,1.0,0.695395987516026,High Risk,1,Churned
3,1,172.06,0,172.06,0,0.0,1.0,0.6971525497509672,High Risk,1,Churned
732,1,485.31,1,485.31,0,0.0,1.0,0.6940049852630659,High Risk,1,Churned
21,5,5005.46,0,1001.092,149,37.25,1.0,0.48674798478416836,Medium Risk,3,regular
22,2,434.98,0,217.49,398,398.0,1.0,0.38130533344982004,Medium Risk,0,Occasional
58,1,1002.3100000000001,0,1002.3100000000001,0,0.0,1.0,0.6887703935947928,High Risk,1,Churned
243,1,476.49,1,476.49,0,0.0,1.0,0.6940938594160578,High Risk,1,Churned
44,1,449.45,0,449.45,0,0.0,1.0,0.694366236204739,High Risk,1,Churned
22,6,4835.89,0,805.9816666666667,416,83.2,1.0,0.1840739806739765,Low Risk,3,regular
156,5,688.2,0,137.64000000000001,318,79.5,1.0,0.2895728299087823,Low Risk,0,Occasional
11,8,12669.88,0,1583.735,518,74.0,1.3333333333333333,0.105301354978021,Low Risk,2,VIP Loyal
17,2,430.57,0,215.285,0,0.0,2.0,0.6957100736668526,High Risk,1,Churned
134,1,707.09,0,707.09,0,0.0,1.0,0.6917655003350124,High Risk,1,Churned
56,5,16679.78,0,3335.9559999999997,364,91.0,1.6666666666666667,0.2326277264256146,Low Risk,3,regular
73,10,5879.95,0,587.995,648,72.0,1.1111111111111112,0.05030842186593716,Low Risk,2,VIP Loyal
44,3,3181.04,0,1060.3466666666666,210,105.0,1.0,0.4518172907989186,Medium Risk,3,regular
66,8,2995.91,0,374.48875,368,52.57142857142857,2.0,0.21226035122321552,Low Risk,2,VIP Loyal
71,4,1777.49,0,444.3725,416,138.66666666666666,1.0,0.2150588089684951,Low Risk,3,regular
605,1,454.36,1,454.36,0,0.0,1.0,0.6943167873428707,High Risk,1,Churned
456,1,326.65,1,326.65,0,0.0,1.0,0.6956015027191891,High Risk,1,Churned
94,2,826.88,0,413.44,60,60.0,1.0,0.6463627193755509,High Risk,3,regular
19,2,1189.59,0,594.7950000000001,284,284.0,1.0,0.46748249156344734,Medium Risk,3,regular
53,4,1344.78,0,336.195,188,62.666666666666664,1.0,0.45697565324180744,Medium Risk,3,regular
10,8,1212.05,0,151.50625,299,42.714285714285715,1.6,0.2794621870077192,Low Risk,0,Occasional
17,2,742.1899999999999,0,371.095,152,152.0,1.0,0.5760884587015218,Medium Risk,3,regular
682,1,56.73,1,56.73,0,0.0,1.0,0.6983067730309539,High Risk,1,Churned
423,1,132.8,1,132.8,0,0.0,1.0,0.697545744439651,High Risk,1,Churned
188,5,3670.74,1,734.1479999999999,495,123.75,1.0,0.1397930935139154,Low Risk,3,regular
523,2,3070.54,1,1535.27,14,14.0,1.0,0.6694394828991915,High Risk,3,regular
690,1,211.95,1,211.95,0,0.0,1.0,0.6967527495843425,High Risk,1,Churned
2,79,39963.79,0,505.8707594936709,730,9.480519480519481,3.391304347826087,0.005535035446067633,Low Risk,2,VIP Loyal
32,19,17880.59,0,941.0836842105264,693,38.5,1.1875,0.030150240755258403,Low Risk,2,VIP Loyal
29,5,3938.5499999999997,0,787.71,162,40.5,1.25,0.4727200089926092,Medium Risk,3,regular
17,31,12424.45,0,400.7887096774194,649,21.633333333333333,1.8235294117647058,0.027159536495320703,Low Risk,2,VIP Loyal
54,2,1149.64,0,574.8199999999999,356,356.0,1.0,0.4102994461860511,Medium Risk,3,regular
16,23,14115.41,0,613.7134782608696,486,22.09090909090909,1.7692307692307692,0.08125278570901803,Low Risk,2,VIP Loyal
23,9,20276.37,0,2252.93,600,75.0,1.125,0.06724780529497996,Low Risk,2,VIP Loyal
4,1,680.99,0,680.99,0,0.0,1.0,0.6920295238927011,High Risk,1,Churned
11,1,527.2,0,527.2,0,0.0,1.0,0.6935826864197648,High Risk,1,Churned
28,7,5464.85,0,780.6928571428572,479,79.83333333333333,1.0,0.1322400707034851,Low Risk,3,regular
23,15,12361.39,0,824.0926666666667,584,41.714285714285715,1.3636363636363635,0.0600271755796732,Low Risk,2,VIP Loyal
576,29,23691.4,1,816.944827586207,77,2.9615384615384617,9.0,0.47787925884617977,Medium Risk,2,VIP Loyal
17,19,5120.58,0,269.5042105263158,660,36.666666666666664,1.3571428571428572,0.03478230089645367,Low Risk,2,VIP Loyal
33,12,6370.15,0,530.8458333333334,648,58.90909090909091,1.5,0.04692925506082035,Low Risk,2,VIP Loyal
529,1,708.1,1,708.1,0,0.0,1.0,0.6917552808095997,High Risk,1,Churned
432,1,1037.28,1,1037.28,0,0.0,1.0,0.6884145557054251,High Risk,1,Churned
731,1,285.29999999999995,1,285.29999999999995,0,0.0,1.0,0.6960168170855574,High Risk,1,Churned
10,3,1298.66,0,432.8866666666667,65,32.5,1.0,0.617769496225508,High Risk,3,regular
336,1,334.93,1,334.93,0,0.0,1.0,0.6955183010684587,High Risk,1,Churned
5,21,9823.64,0,467.79238095238094,733,36.65,1.2352941176470589,0.022271059151374596,Low Risk,2,VIP Loyal
39,1,460.40000000000003,0,460.40000000000003,0,0.0,1.0,0.6942559520509548,High Risk,1,Churned
63,3,715.21,0,238.40333333333334,340,170.0,1.0,0.3212501368346316,Medium Risk,0,Occasional
166,2,433.74,0,216.87,31,31.0,1.0,0.6693405943790066,High Risk,0,Occasional
16,9,1872.8700000000001,0,208.0966666666667,560,70.0,1.125,0.08212010742779055,Low Risk,2,VIP Loyal
641,1,357.4,1,357.4,0,0.0,1.0,0.6952924466692911,High Risk,1,Churned
620,2,54.09,1,27.045,0,0.0,2.0,0.6973590431813864,High Risk,1,Churned
82,3,6248.5,0,2082.8333333333335,563,281.5,1.0,0.1400505126490495,Low Risk,3,regular
21,3,403.70000000000005,0,134.56666666666666,36,18.0,1.5,0.6528331807450747,High Risk,0,Occasional
560,1,393.72,1,393.72,0,0.0,1.0,0.6949271818177309,High Risk,1,Churned
23,19,5955.21,0,313.4321052631579,650,36.111111111111114,1.5833333333333333,0.036978189041389664,Low Risk,2,VIP Loyal
337,1,2169.39,1,2169.39,0,0.0,1.0,0.6767761391585931,High Risk,1,Churned
96,5,3723.87,0,744.774,214,53.5,1.0,0.4062284691578572,Medium Risk,3,regular
584,1,1126.0,1,1126.0,0,0.0,1.0,0.6875107856494383,High Risk,1,Churned
18,4,779.05,0,194.7625,578,192.66666666666666,1.3333333333333333,0.11151608525142209,Low Risk,0,Occasional
409,1,955.2,1,955.2,0,0.0,1.0,0.6892494098835777,High Risk,1,Churned
233,1,73.5,1,73.5,0,0.0,1.0,0.698139094054865,High Risk,1,Churned
134,4,1844.06,0,461.015,450,150.0,1.3333333333333333,0.18923689091494286,Low Risk,3,regular
26,2,398.27,0,199.135,2,2.0,2.0,0.6944784389293145,High Risk,1,Churned
284,1,176.5,1,176.5,0,0.0,1.0,0.6971080643030483,High Risk,1,Churned
143,9,5178.02,0,575.3355555555556,592,74.0,1.2857142857142858,0.07017743886244286,Low Risk,3,regular
429,1,3084.02,1,3084.02,0,0.0,1.0,0.6672100291657996,High Risk,3,regular
66,2,138.03,0,69.015,0,0.0,2.0,0.6969918270797114,High Risk,1,Churned
113,1,612.29,0,612.29,0,0.0,1.0,0.6927238819579885,High Risk,1,Churned
267,2,1597.76,1,798.88,374,374.0,1.0,0.39404545646389916,Medium Risk,3,regular
353,1,383.7,1,383.7,0,0.0,1.0,0.6950279760064391,High Risk,1,Churned
78,4,2648.62,0,662.155,521,173.66666666666666,1.0,0.13986286197249762,Low Risk,3,regular
28,5,2502.84,0,500.56800000000004,161,40.25,1.25,0.47567182599577035,Medium Risk,3,regular
1,5,2056.89,0,411.378,109,27.25,1.0,0.5412653538099963,Medium Risk,3,regular
64,2,726.54,0,363.27,413,413.0,1.0,0.368499946800875,Medium Risk,3,regular
79,5,2634.26,0,526.8520000000001,194,48.5,1.25,0.4336823580468223,Medium Risk,3,regular
143,1,599.68,0,599.68,0,0.0,1.0,0.6928512378897624,High Risk,1,Churned
39,2,192.72,0,96.36,12,12.0,2.0,0.6884744944478267,High Risk,0,Occasional
19,23,4372.15,0,190.09347826086955,712,32.36363636363637,1.2777777777777777,0.023119102127673274,Low Risk,2,VIP Loyal
9,17,11126.11,0,654.4770588235294,660,41.25,1.3076923076923077,0.037589363651823686,Low Risk,2,VIP Loyal
498,3,973.73,1,324.57666666666665,149,74.5,1.0,0.526646792679866,Medium Risk,3,regular
1,3,1316.66,0,438.8866666666666,93,46.5,1.0,0.5876192101228542,Medium Risk,3,regular
82,5,735.51,0,147.102,447,111.75,1.0,0.17397931294501995,Low Risk,0,Occasional
9,6,1933.48,0,322.24666666666667,303,60.6,1.0,0.2914619833722686,Low Risk,3,regular
528,1,316.48,1,316.48,0,0.0,1.0,0.6957036785513111,High Risk,1,Churned
60,9,3759.26,0,417.6955555555556,582,72.75,1.0,0.07338333928519718,Low Risk,3,regular
15,2,1933.2,0,966.6,671,671.0,1.0,0.19787031708022204,Low Risk,3,regular
30,1,349.83000000000004,0,349.83000000000004,0,0.0,1.0,0.6953685460911828,High Risk,1,Churned
628,2,1367.89,1,683.9449999999999,110,110.0,1.0,0.605841097337377,High Risk,3,regular
131,1,1089.18,0,1089.18,0,0.0,1.0,0.6878860360608733,High Risk,1,Churned
92,2,716.35,0,358.17499999999995,94,94.0,1.0,0.6213328239151353,High Risk,0,Occasional
43,3,12601.830000000002,0,4200.610000000001,15,7.5,3.0,0.6487628558731782,High Risk,3,regular
409,1,732.94,1,732.94,0,0.0,1.0,0.691503882090255,High Risk,1,Churned
29,2,640.45,0,320.225,349,349.0,1.0,0.41836365245960394,Medium Risk,3,regular
22,7,11214.75,0,1602.107142857143,694,115.66666666666667,1.4,0.046221817755789166,Low Risk,3,regular
20,33,22254.49,0,674.3784848484847,712,22.25,1.5,0.01878589814712518,Low Risk,2,VIP Loyal
30,3,981.18,0,327.06,251,125.5,1.0,0.4130240301081761,Medium Risk,3,regular
484,2,481.88,1,240.94,156,156.0,1.0,0.5742394118877457,Medium Risk,0,Occasional
448,1,980.25,1,980.25,0,0.0,1.0,0.6889947509173708,High Risk,1,Churned
36,1,372.7,0,372.7,0,0.0,1.0,0.6951386067855743,High Risk,1,Churned
75,2,1000.39,0,500.195,184,184.0,1.0,0.5492637932656379,Medium Risk,3,regular
47,2,1161.5,0,580.75,31,31.0,1.0,0.6659945009521909,High Risk,3,regular
198,3,383.58,1,127.86,302,151.0,1.0,0.3604390322906082,Medium Risk,0,Occasional
166,1,95.19999999999999,0,95.19999999999999,0,0.0,1.0,0.6979220427703452,High Risk,1,Churned
576,6,1575.68,1,262.61333333333334,121,24.2,3.0,0.527257331062372,Medium Risk,0,Occasional
79,1,964.83,0,964.83,0,0.0,1.0,0.6891515245957538,High Risk,1,Churned
358,1,168.0,1,168.0,0,0.0,1.0,0.6971932246511223,High Risk,1,Churned
39,2,437.82,0,218.91,0,0.0,1.0,0.6911644654256303,High Risk,1,Churned
8,12,4608.75,0,384.0625,415,37.72727272727273,1.0909090909090908,0.14961088770072395,Low Risk,2,VIP Loyal
449,1,468.5,1,468.5,0,0.0,1.0,0.6941743576643016,High Risk,1,Churned
682,1,129.23,1,129.23,0,0.0,1.0,0.6975814841716547,High Risk,1,Churned
50,2,603.71,0,301.855,100,100.0,1.0,0.6172994703833069,High Risk,0,Occasional
16,8,18716.14,0,2339.5175,706,100.85714285714286,1.0,0.040580029075884906,Low Risk,3,regular
8,1,269.96,0,269.96,0,0.0,1.0,0.6961708089883073,High Risk,1,Churned
311,2,561.71,1,280.855,8,8.0,1.0,0.68505030552711,High Risk,1,Churned
5,3,2134.01,0,711.3366666666667,137,68.5,1.0,0.536653116987375,Medium Risk,3,regular
303,1,238.85,1,238.85,0,0.0,1.0,0.6964829743432323,High Risk,1,Churned
8,9,4966.92,0,551.88,427,53.375,1.0,0.15521521056485768,Low Risk,2,VIP Loyal
409,1,249.24,1,249.24,0,0.0,1.0,0.6963787386661137,High Risk,1,Churned
261,1,456.9,1,456.9,0,0.0,1.0,0.694291205115173,High Risk,1,Churned
289,1,145.92,1,145.92,0,0.0,1.0,0.6974143778734263,High Risk,1,Churned
86,1,351.65,0,351.65,0,0.0,1.0,0.69535025103623,High Risk,1,Churned
23,15,13709.86,0,913.9906666666667,644,46.0,1.25,0.04377435768303055,Low Risk,2,VIP Loyal
645,1,70.0,1,70.0,0,0.0,1.0,0.6981740940350344,High Risk,1,Churned
2,32,4124.69,0,128.89656250000002,250,8.620689655172415,3.3333333333333335,0.20575273100464667,Low Risk,2,VIP Loyal
682,1,77.52,1,77.52,0,0.0,1.0,0.698098891235204,High Risk,1,Churned
40,2,519.61,0,259.805,81,81.0,1.0,0.6321403254856133,High Risk,3,regular
9,2,1020.42,0,510.21000000000004,43,43.0,1.0,0.6579481379009949,High Risk,3,regular
227,5,717.41,1,143.48200000000003,237,59.25,1.25,0.38275566839163583,Medium Risk,0,Occasional
316,1,218.45,1,218.45,0,0.0,1.0,0.696687574666775,High Risk,1,Churned
457,2,622.8199999999999,1,311.40999999999997,69,69.0,1.0,0.6406427137952507,High Risk,0,Occasional
36,8,2142.72,0,267.84,490,70.0,1.0,0.12037357634958598,Low Risk,3,regular
35,8,1653.75,0,206.71875,700,100.0,1.6,0.04283866497531921,Low Risk,2,VIP Loyal
21,4,4642.45,0,1160.6125,422,140.66666666666666,1.0,0.20665330946567648,Low Risk,3,regular
78,1,440.42,0,440.42,0,0.0,1.0,0.6944571661053374,High Risk,1,Churned
247,2,1052.9,1,526.45,329,329.0,1.0,0.4321130936438266,Medium Risk,3,regular
40,1,197.71,0,197.71,0,0.0,1.0,0.6968955051392226,High Risk,1,Churned
239,4,1980.4,1,495.1,338,112.66666666666667,1.0,0.28630923810329356,Low Risk,3,regular
3,27,14447.44,0,535.0903703703704,730,28.076923076923077,1.2272727272727273,0.019342218448918067,Low Risk,2,VIP Loyal
4,9,2338.15,0,259.7944444444445,276,34.5,1.125,0.29483299265380974,Low Risk,2,VIP Loyal
234,2,2040.1,1,1020.05,117,117.0,1.0,0.5970653921135136,Medium Risk,3,regular
17,4,2062.67,0,515.6675,706,235.33333333333334,1.0,0.06179927898353818,Low Risk,3,regular
8,1,144.0,0,144.0,0,0.0,1.0,0.6974336042665816,High Risk,1,Churned
39,4,958.78,0,239.695,558,186.0,1.3333333333333333,0.12147747848120616,Low Risk,0,Occasional
29,8,4695.66,0,586.9575,660,94.28571428571429,1.6,0.05249048518190642,Low Risk,2,VIP Loyal
211,2,9864.26,1,4932.13,0,0.0,2.0,0.6528232864484022,High Risk,3,regular
317,3,1352.15,1,450.7166666666667,91,45.5,1.0,0.5896925949587704,Medium Risk,3,regular
92,5,2582.66,0,516.5319999999999,427,106.75,1.6666666666666667,0.1900244578729731,Low Risk,3,regular
109,3,418.09999999999997,0,139.36666666666667,110,55.0,1.5,0.5742016533862314,Medium Risk,0,Occasional
38,15,5090.110000000001,0,339.3406666666667,608,43.42857142857143,1.0714285714285714,0.05173226132416584,Low Risk,2,VIP Loyal
505,1,299.02,1,299.02,0,0.0,1.0,0.6958790504565241,High Risk,1,Churned
51,2,618.27,0,309.135,190,190.0,1.0,0.5464092399611261,Medium Risk,3,regular
19,4,3811.22,0,952.805,248,82.66666666666667,1.0,0.38103977834204944,Medium Risk,3,regular
10,11,4534.09,0,412.19,639,63.9,1.5714285714285714,0.051039585572491025,Low Risk,2,VIP Loyal
29,13,2296.72,0,176.67076923076925,548,45.666666666666664,1.1818181818181819,0.07518719686141666,Low Risk,2,VIP Loyal
29,21,5043.92,0,240.18666666666667,703,35.15,1.2352941176470589,0.02583107248316384,Low Risk,2,VIP Loyal
190,6,681.26,1,113.54333333333334,214,42.8,1.0,0.3969520949709916,Medium Risk,0,Occasional
59,1,153.12,0,153.12,0,0.0,1.0,0.6973422727395114,High Risk,1,Churned
22,1,739.1999999999999,0,739.1999999999999,0,0.0,1.0,0.691440508460856,High Risk,1,Churned
79,2,254.18,0,127.09,182,182.0,1.0,0.554690238610054,Medium Risk,0,Occasional
376,4,1232.95,1,308.2375,81,27.0,1.3333333333333333,0.5891654352044323,Medium Risk,3,regular
682,1,21.0,1,21.0,0,0.0,1.0,0.6986638517319264,High Risk,1,Churned
60,1,1579.51,0,1579.51,0,0.0,1.0,0.6828687778217709,High Risk,1,Churned
405,1,415.79,1,415.79,0,0.0,1.0,0.6947051071646384,High Risk,1,Churned
78,9,3435.86,0,381.76222222222225,641,80.125,1.0,0.05436302741139289,Low Risk,3,regular
23,5,2099.54,0,419.908,103,25.75,1.6666666666666667,0.5523304269100995,Medium Risk,3,regular
52,1,1193.32,0,1193.32,0,0.0,1.0,0.6868240592729432,High Risk,1,Churned
74,1,704.0400000000001,0,704.0400000000001,0,0.0,1.0,0.6917963601379001,High Risk,1,Churned
57,10,6835.07,0,683.507,668,74.22222222222223,1.25,0.04549216795370889,Low Risk,2,VIP Loyal
278,1,315.6,1,315.6,0,0.0,1.0,0.6957125188175002,High Risk,1,Churned
2,8,5740.98,0,717.6225000000001,629,89.85714285714286,1.1428571428571428,0.06084211124797363,Low Risk,2,VIP Loyal
95,3,1131.1,0,377.0333333333333,293,146.5,1.0,0.36775284441522355,Medium Risk,3,regular
29,1,355.53,0,355.53,0,0.0,1.0,0.695311246330759,High Risk,1,Churned
22,1,177.31,0,177.31,0,0.0,1.0,0.6970999483160256,High Risk,1,Churned
16,10,3781.38,0,378.13800000000003,544,60.44444444444444,1.4285714285714286,0.08592856822621088,Low Risk,2,VIP Loyal
15,3,1339.41,0,446.46999999999997,189,94.5,1.0,0.48069227746883164,Medium Risk,3,regular
2,35,24775.81,0,707.8802857142856,666,19.58823529411765,1.6666666666666667,0.023295524234468862,Low Risk,2,VIP Loyal
232,1,180.1,1,180.1,0,0.0,1.0,0.6970719923083559,High Risk,1,Churned
276,7,3747.84,1,535.4057142857143,420,70.0,1.0,0.1730244433866767,Low Risk,3,regular
106,2,641.13,0,320.565,71,71.0,1.0,0.63906188624999,High Risk,0,Occasional
212,4,5164.88,1,1291.22,384,128.0,1.0,0.2382020467312581,Low Risk,3,regular
23,9,6620.48,0,735.6088888888888,303,37.875,1.5,0.26691218513114506,Low Risk,2,VIP Loyal
11,7,4478.53,0,639.79,129,21.5,1.4,0.4981153749120989,Medium Risk,2,VIP Loyal
